Country,Hub Score (出),Authority Score (进)
Afghanistan,0.0,1.5262129254684437e-05
Albania,0.00016932150681476,0.0013143489465939635
Algeria,0.0,0.0037270678280536852
Angola,1.0666056525040515e-07,1.3722956589020684e-05
Antigua and Barbuda,5.782967757546224e-08,7.402844475774622e-07
Argentina,2.4690854631989033e-06,4.1555658379405606e-07
Armenia,2.212686025939086e-05,8.37324445750429e-05
Australia,7.055529445962488e-07,3.138424416215126e-07
Austria,0.11497363634602874,0.06165170757575971
Azerbaijan,6.699750359938742e-05,0.0001352191013965492
Bahamas,2.0427653785427676e-08,1.2714133424459573e-06
Bahrain,9.235536080852214e-06,5.152035747929449e-05
Bangladesh,0.0,1.8927371218109607e-05
Barbados,6.879376132868872e-07,1.3274991291411361e-06
Belarus,0.0009356304154948281,0.0022000434975487536
Belgium,0.2804465172258256,0.379962556550946
Belize,0.0,3.6872038651286125e-07
Benin,3.319347786492184e-06,5.364020173689077e-05
Bhutan,0.0,3.754709647782606e-07
Bolivia (Plurinational State of),5.5000286297986e-07,3.101977261426045e-07
Bosnia and Herzegovina,0.0007040678836338918,0.0019119191625031134
Botswana,3.991250546642873e-08,2.686100809613835e-07
Brazil,9.219407150926528e-05,1.2266876887918464e-05
Brunei Darussalam,9.31859217702389e-10,8.179801456567722e-08
Bulgaria,0.006663250745835075,0.005584202010876569
Burkina Faso,5.6069768230033625e-05,8.629798817319086e-05
Burundi,1.5682096995130114e-06,9.479758040447877e-07
Cabo Verde,0.0,2.7629369626104087e-05
Cambodia,2.2427673985953825e-06,3.0527317477459655e-06
Cameroon,0.00011930210320238487,8.580658820587672e-05
Canada,0.0002290816649822214,0.00018768275011642153
Central African Republic,4.564471598618718e-09,6.282778943398597e-06
Chad,0.0,2.2253190497608995e-05
Chile,1.243606456839218e-06,1.2373881253015097e-06
"China, Hong Kong SAR",2.1844965999210046e-05,2.9420330929344613e-05
"China, Macao SAR",6.350219362559321e-08,1.6448141668837517e-06
"China, Taiwan Province of",4.236572487128976e-06,8.658423753644446e-06
"China, mainland",0.00020920923460895677,0.0004288096458383553
Colombia,2.1867160843071378e-05,7.124948926844858e-06
Comoros,2.5250685920710153e-07,5.728509923889653e-07
Congo,5.513367771107907e-07,2.358118726085819e-05
Cook Islands,0.0,4.3327375815199636e-11
Costa Rica,1.0999346070464087e-05,2.3075737000557255e-06
Croatia,0.005899833569734303,0.010624486907630985
Cuba,3.4542470790659924e-06,8.114079683233902e-06
Cyprus,0.00023963698144760366,0.0010477312121644805
Czechia,0.056223985228381596,0.045844843421947834
Côte d'Ivoire,0.000893629830334331,0.00023641737995100227
Democratic People's Republic of Korea,0.0,8.834763332139545e-08
Democratic Republic of the Congo,4.672225718377844e-06,2.9422992032363368e-05
Denmark,0.06338358387823594,0.06761746871418613
Djibouti,9.442105617094108e-07,1.5009586906368643e-05
Dominica,4.772148297739918e-08,3.555428926088736e-07
