Country,Hub Score (出),Authority Score (进)
Afghanistan,0.0,5.796635842367562e-06
Albania,0.0001415992700187317,0.0010899695570173733
Algeria,0.0,0.0024582031741035297
Angola,2.836600888769783e-08,3.738055683998664e-06
Antigua and Barbuda,1.524717149881382e-08,2.0069216871765196e-07
Argentina,2.4272501789510517e-07,4.335551780584492e-08
Armenia,1.2948579638022925e-05,4.869670594710835e-05
Australia,4.118411853521996e-08,1.794048041898529e-08
Austria,0.11400492535363271,0.057110014667356206
Azerbaijan,3.8601070074425556e-05,7.859397958318498e-05
Bahamas,4.56313262348953e-09,2.6745162489547496e-07
Bahrain,4.016685182772635e-06,2.2140447996789617e-05
Bangladesh,0.0,4.316351529428559e-06
Barbados,1.7908477681873702e-07,3.473111135488826e-07
Belarus,0.0008007350662128882,0.0018854484027584547
Belgium,0.2756651199735086,0.39855394835028624
Belize,0.0,6.359509590985456e-08
Benin,1.3889549723869036e-06,2.351028719604586e-05
Bhutan,0.0,8.228721498634717e-08
Bolivia (Plurinational State of),7.749476032984181e-08,4.588780597356542e-08
Bosnia and Herzegovina,0.0006330188333469751,0.0016739776416257084
Botswana,7.1318520971911666e-09,4.4821593331556014e-08
Brazil,1.6226179077786783e-05,2.1751238477009214e-06
Brunei Darussalam,1.078519049573401e-10,9.878009295750337e-09
Bulgaria,0.0052439194930055276,0.004373458968616172
Burkina Faso,2.635723515357826e-05,4.022526114202294e-05
Burundi,4.870573478206632e-07,2.829119139469797e-07
Cabo Verde,0.0,1.2265501223824915e-05
Cambodia,3.4985366613830225e-07,5.041197522534072e-07
Cameroon,4.9247588443482246e-05,3.59391621605136e-05
Canada,5.397785871276749e-05,4.704885987809617e-05
Central African Republic,1.8105494498512414e-09,2.470582749068364e-06
Chad,0.0,1.0638628521469488e-05
Chile,1.1347575057102055e-07,1.2027398235852204e-07
"China, Hong Kong SAR",3.970631016445138e-06,5.212466028470462e-06
"China, Macao SAR",1.19987244096387e-08,3.064400795835712e-07
"China, Taiwan Province of",7.066302197093345e-07,1.3812555984286773e-06
"China, mainland",5.1458049469391875e-05,0.0001015243265320635
Colombia,3.837427061759971e-06,1.208326963862003e-06
Comoros,5.71864508678358e-08,1.2999000950220027e-07
Congo,1.9565537988060286e-07,8.219592048611233e-06
Cook Islands,0.0,1.688447512318075e-12
Costa Rica,1.8362070469261929e-06,3.6658664146795e-07
Croatia,0.005437662788927161,0.00955756554501304
Cuba,7.770920764349849e-07,1.814652477741159e-06
Cyprus,0.00014523307690661528,0.0006618180513133831
Czechia,0.05656273789600286,0.04339281575941723
Côte d'Ivoire,0.00037012251428051164,9.965968954850902e-05
Democratic People's Republic of Korea,0.0,1.572943694277657e-08
Democratic Republic of the Congo,1.4989296420029368e-06,9.093697842852813e-06
Denmark,0.06114195395891472,0.06546779007991277
Djibouti,3.4301695600676375e-07,5.616261465485408e-06
Dominica,1.272676201038549e-08,9.46668628915887e-08
Dominican Republic,3.7721765138493147e-06,3.2101202233521914e-06
Ecuador,9.050318681371955e-07,1.9859452069648459e-07
Egypt,0.0004235806931605892,0.0006258916113645103
El Salvador,1.7414103812778223e-07,2.9411540099652757e-07
Equatorial Guinea,0.0,7.957779849782175e-06
Eritrea,0.0,5.258163381486007e-07
Estonia,0.0008370152069665693,0.002679569076913966
Eswatini,7.477680947345791e-08,1.5161911934469146e-08
Ethiopia,4.558691792146826e-05,5.178590870476641e-06
Faroe Islands,0.0,0.00012612124106596185
Fiji,2.06627100293439e-11,1.6324594756436334e-11
Finland,0.001706807928686525,0.010631973305218156
France,0.21993765146290045,0.2800510173225118
French Polynesia,1.8121731538755084e-11,2.2649460050145586e-10
Gabon,1.1480416208547685e-06,1.1531914328357166e-05
Gambia,1.6446548373951728e-09,1.6082974650763305e-05
Georgia,0.00011990135756158684,0.0001680526251449231
Germany,0.1850075594511263,0.8040201711032634
Ghana,0.00012704427162343063,9.12088542199207e-05
Greece,0.010178764346821157,0.009575210393235452
Grenada,4.566423434604749e-09,1.1057185726548697e-07
Guatemala,1.8279138059176368e-06,7.560629981371157e-07
Guinea,0.0,3.143663686959869e-05
Guinea-Bissau,0.0,6.7347297181896055e-06
Guyana,5.15252210490622e-07,2.3418166840140456e-07
Haiti,0.0,7.486102667215228e-07
Honduras,2.0082223692567004e-06,4.4880879364911965e-07
Hungary,0.029546372485743513,0.019887433404655142
Iceland,8.140070839874843e-05,0.0008445537860280994
India,4.620903560200513e-05,1.1115453230914875e-05
Indonesia,1.2425063073978133e-06,2.907761449575004e-07
Iran (Islamic Republic of),0.00010313711857882224,0.0001168327524395015
Iraq,0.0,0.0005570541805896545
Ireland,0.04791816701916808,0.03038137682239356
Israel,0.00036641529615923606,0.0010722863951266824
Italy,0.15051989044575642,0.09152429351083337
Jamaica,4.1560130575954806e-07,6.109990329968561e-07
Japan,7.834128587559029e-07,5.729396148756417e-06
Jordan,2.9876976298307108e-05,0.0002738401505055642
Kazakhstan,3.691600829953892e-05,6.094053536473105e-05
Kenya,1.8373016779031735e-05,3.3034855781248355e-06
Kiribati,3.4473717533289105e-15,1.5167234305667425e-11
Kuwait,3.056794402957582e-06,0.0001446961489998735
Kyrgyzstan,7.683630590706571e-07,2.523958046093555e-06
Lao People's Democratic Republic,4.0133612533310565e-07,1.9782887002085077e-07
Latvia,0.003327116329741423,0.004675375446061026
Lebanon,5.8537276445577454e-05,0.00026779369987521594
Lesotho,1.6455167227457636e-08,2.5193200859977477e-08
Liberia,0.0,6.610623785470201e-06
Libya,0.0,0.0005729303348515663
Lithuania,0.00811909947878312,0.008446215118448184
Luxembourg,0.018878834232076366,0.021965418549917064
Madagascar,1.1314756475374512e-06,1.429592571754066e-07
Malawi,1.7397906153575678e-06,3.1018457294021564e-08
Malaysia,1.7520232482579998e-06,1.0515140488944902e-06
Maldives,1.0758055259058257e-11,2.62533443056872e-07
Mali,0.0,9.876448306087138e-05
Malta,1.1092393971144248e-05,0.0015129012645752418
Marshall Islands,0.0,8.49102936762443e-12
Mauritania,1.1312560106553077e-07,0.00011218273926309648
Mauritius,8.962245260764375e-08,1.7505420153377408e-07
Mexico,2.9162783287855966e-05,1.3028527752738364e-05
Micronesia (Federated States of),0.0,3.222670367145592e-11
Mongolia,8.885780964129483e-07,2.811338002131007e-06
Montenegro,3.540822964632785e-05,0.00042894007459428707
Morocco,0.0037587650930430974,0.0030669447113067187
Mozambique,5.053147166994985e-07,2.4788752456180413e-07
Myanmar,0.0,0.0
Namibia,1.3452272363528418e-07,1.2243494585838434e-07
Nauru,0.0,7.660114146832564e-13
Nepal,3.2891745175504345e-07,1.529809050051601e-06
Netherlands (Kingdom of the),0.863206401069575,0.18106977043938258
New Caledonia,0.0,9.542853574456486e-11
New Zealand,8.628685384146914e-10,1.2357011583652578e-10
Nicaragua,7.877708983263304e-07,1.900109649355975e-07
Niger,1.0067058264534123e-07,2.9535192699612327e-05
Nigeria,0.0,0.00013025434832312976
Niue,0.0,1.3968370443828015e-14
North Macedonia,0.0005893943316906541,0.0005996551244278648
Norway,0.0016145353800613733,0.01958925210655755
Oman,4.111302706001761e-06,2.1903114365433793e-05
Pakistan,3.3125089132426455e-05,1.9755632298575382e-05
Palestine,2.00210131521455e-06,5.191615924276533e-05
Panama,1.846485646358309e-07,4.3067234958776646e-07
Papua New Guinea,6.5422862642779995e-09,1.0325321932202522e-09
Paraguay,1.4046167763976726e-07,1.785841299786451e-07
Peru,1.114311231194439e-06,2.1123594350787916e-07
Philippines,3.812601016536484e-07,7.820627325852319e-07
Poland,0.17963784366972488,0.08097532828464526
Portugal,0.010422913564351006,0.022394931058064393
Qatar,7.330299525888974e-07,6.751664961911597e-05
Republic of Korea,1.330076361494717e-06,6.3286851411371425e-06
Republic of Moldova,0.0006696561936508628,0.0006546906494652259
Romania,0.009122308279668735,0.0161453343380812
Russian Federation,7.490913564954614e-05,0.00024072597133224888
