Country,Hub Score (出),Authority Score (进)
Afghanistan,0.0,4.058687282958778e-05
Albania,0.0002006512127938367,0.0015723406757391415
Algeria,0.0,0.0056312792604381375
Angola,3.982161203353425e-07,5.014693199534396e-05
Antigua and Barbuda,2.1828343662721764e-07,2.752068064960239e-06
Argentina,2.5269333345109797e-05,3.98267034810601e-06
Armenia,3.863187335105183e-05,0.00014368102665979055
Australia,1.2158367522866515e-05,5.488289860472042e-06
Austria,0.11505765621794957,0.06619795619076613
Azerbaijan,0.00011672344558521357,0.000232343902614803
Bahamas,9.463415052312693e-08,6.416169757788653e-06
Bahrain,2.112790427057375e-05,0.00011960327593656528
Bangladesh,0.0,8.419964880984451e-05
Barbados,2.681826512214428e-06,5.145355231420075e-06
Belarus,0.0010981214434646325,0.002571385018598549
Belgium,0.28401686112260305,0.360491412446487
Belize,0.0,2.1968987330556412e-06
Benin,7.966789864615191e-06,0.00012185764769641676
Bhutan,0.0,1.7274358736689112e-06
Bolivia (Plurinational State of),3.944311030495841e-06,2.1085768956831937e-06
Bosnia and Herzegovina,0.000776863654009983,0.0021688974712400317
Botswana,2.2505470817694992e-07,1.6241749836349772e-06
Brazil,0.0005240214710081963,6.917423319805096e-05
Brunei Darussalam,8.162953292259267e-09,6.798777994911058e-07
Bulgaria,0.008455212161181752,0.007104075295979347
Burkina Faso,0.0001183445917792151,0.0001839938455764127
Burundi,5.017900146960222e-06,3.1492404234736317e-06
Cabo Verde,0.0,6.171941120859973e-05
Cambodia,1.4442511990864406e-05,1.857514044593656e-05
Cameroon,0.0002872542984314154,0.00020331412017364606
Canada,0.0011120757930795397,0.0008028557280697402
Central African Republic,1.1685235585923453e-08,1.583696934091038e-05
Chad,0.0,4.6204219127125875e-05
Chile,1.3986844170003588e-05,1.2814824819937863e-05
"China, Hong Kong SAR",0.00012092083188206794,0.0001673158108100256
"China, Macao SAR",3.373243280181498e-07,8.904317287816363e-06
"China, Taiwan Province of",2.562965543081021e-05,5.472570327120284e-05
"China, mainland",0.0008594976987062017,0.0018319623765997183
Colombia,0.00012904916066102718,4.4168888758054654e-05
Comoros,1.1078955682191677e-06,2.511665694746111e-06
Congo,1.5408109715986854e-06,6.720467225890229e-05
Cook Islands,0.0,1.1749009924014127e-09
Costa Rica,6.793235834028576e-05,1.5048397963209875e-05
Croatia,0.006357955876887418,0.011736767928848585
Cuba,1.5254244322030975e-05,3.6631549725972915e-05
Cyprus,0.0003988342189748726,0.0016487608033769066
Czechia,0.055552875921106123,0.04825573016861633
Côte d'Ivoire,0.0021451123332353198,0.0005571332390609094
Democratic People's Republic of Korea,0.0,4.985949070061952e-07
Democratic Republic of the Congo,1.444511766128799e-05,9.443526468277834e-05
Denmark,0.06541567631241116,0.06966415200738338
Djibouti,2.5839770471224407e-06,4.0400501692866225e-05
Dominica,1.7874880123356102e-07,1.3376413198617459e-06
Dominican Republic,7.569223454654952e-05,6.110045747550792e-05
Ecuador,4.368612067427847e-05,9.482078612636937e-06
Egypt,0.0013670018179583617,0.0020205908619839565
El Salvador,7.346579842743976e-06,1.26087880386858e-05
Equatorial Guinea,0.0,5.916456091964217e-05
Eritrea,0.0,2.992983780070626e-06
Estonia,0.001190683210266915,0.003842451655558309
Eswatini,2.6575227644438393e-06,6.259476662373841e-07
Ethiopia,0.00033419439387469827,4.108593482755269e-05
Faroe Islands,0.0,0.0001755625028132526
Fiji,1.3851181368761024e-08,1.1956129339027094e-08
Finland,0.002593553874466753,0.01678805826275845
France,0.2454262186429279,0.31825977157303714
French Polynesia,9.63282651211275e-09,1.1485991648312129e-07
Gabon,9.472604572375927e-06,9.225197711420476e-05
Gambia,8.206041271774496e-09,8.113432811427327e-05
Georgia,0.00029942776983708785,0.0004347619593324
Germany,0.21069211214946357,0.7816331258512605
Ghana,0.0007236273356320166,0.0005206772430203939
Greece,0.01640507316346342,0.016354755478391374
Grenada,8.271650433371131e-08,1.78465560121979e-06
Guatemala,7.422878394624706e-05,2.9619110859381867e-05
Guinea,0.0,0.00017558354628249568
Guinea-Bissau,0.0,3.540779449840064e-05
Guyana,9.96422127293704e-06,4.609914445594958e-06
Haiti,0.0,1.5584519081589102e-05
Honduras,6.578920504113418e-05,1.7386637665313926e-05
Hungary,0.035127458894399624,0.024711432050183536
Iceland,0.0001597595694509965,0.0015306076763533835
India,0.0006719612660954363,0.00015409960971105816
Indonesia,9.841381225071475e-05,2.1864128037886055e-05
Iran (Islamic Republic of),0.0004335847844335643,0.0005229687881897667
Iraq,0.0,0.0017031479621674621
Ireland,0.05683759952200458,0.03701596723039395
Israel,0.0011654970932477953,0.0031700253343733085
Italy,0.19431081234626377,0.12673429832594904
Jamaica,9.579175918961777e-06,1.4070271665490551e-05
Japan,3.130615119534921e-05,0.00022926349155583204
Jordan,0.00010046937598179513,0.000860985418313944
Kazakhstan,0.00016954642423725936,0.0002709818668527742
Kenya,0.00021144112679863448,3.604171011760658e-05
Kiribati,7.54087161404823e-12,4.6490267600988126e-09
Kuwait,1.4498797203445417e-05,0.0006369744043789814
Kyrgyzstan,5.6821017413609475e-06,1.6967958983378637e-05
Lao People's Democratic Republic,1.2355322836826768e-05,6.6192812545404674e-06
Latvia,0.00442052258773143,0.006555009050358123
Lebanon,0.0001645103377760207,0.0007484412208360819
Lesotho,5.137805436141526e-07,9.006077212494903e-07
Liberia,0.0,4.3364762947359356e-05
Libya,0.0,0.0015139017197852533
Lithuania,0.010760480107697677,0.01087283584219985
Luxembourg,0.017360918165243565,0.02104905317412255
Madagascar,2.9756086383336923e-05,4.102563624553126e-06
Malawi,2.889511992186854e-05,6.032099003113205e-07
Malaysia,9.1200044162132e-05,5.2751489378389616e-05
Maldives,2.6267576005147405e-10,5.7119917254043744e-06
Mali,0.0,0.00035859429187498333
Malta,2.4037234778866616e-05,0.0024078930308714156
Marshall Islands,0.0,3.6011564377568238e-09
Mauritania,3.852041508498286e-07,0.00037530561060220095
Mauritius,3.303227431679626e-06,6.314710591316977e-06
Mexico,0.0010377105191455161,0.00042864978936774735
Micronesia (Federated States of),0.0,5.497713804345664e-09
Mongolia,1.6727327683850277e-05,3.208187219585015e-05
Montenegro,4.5918240511535936e-05,0.0005949770581122908
Morocco,0.007566103299264476,0.006001658047595543
Mozambique,1.0616009441666654e-05,6.009536655336388e-06
Myanmar,0.0,0.0
Namibia,3.2639605931157188e-06,3.388277727071687e-06
Nauru,0.0,4.802644393504423e-10
Nepal,4.754530601484716e-06,2.5615059629518816e-05
Netherlands (Kingdom of the),0.8227947158551321,0.1935462588509836
New Caledonia,0.0,6.932984930187902e-08
New Zealand,1.1949653799314153e-06,1.7451640279444327e-07
Nicaragua,3.193284687439318e-05,7.441061511608809e-06
Niger,5.923038204769923e-07,0.00010783949651145342
Nigeria,0.0,0.0007047521935465021
Niue,0.0,2.869865048906026e-11
North Macedonia,0.0008585448675542943,0.0008962701573501856
Norway,0.0020546393659615315,0.0240573380835984
Oman,2.5709013498989918e-05,0.00015392096211153675
Pakistan,0.00028407499520942577,0.00015095972699068306
Palestine,5.294106429322984e-06,0.0001446768166887228
Panama,6.224019796990463e-06,1.6423600017653535e-05
Papua New Guinea,1.337919218305054e-06,2.225854223247154e-07
Paraguay,7.670636848036315e-06,8.510083815998136e-06
Peru,6.071854396765278e-05,1.1693429046266801e-05
Philippines,2.2184806008901552e-05,4.666492101452777e-05
Poland,0.19692109923674292,0.09860194147234762
Portugal,0.016137816764951927,0.033430134351823675
Qatar,4.829093362048489e-06,0.00037391784008919404
Republic of Korea,4.404754293402788e-05,0.00019194924734372006
Republic of Moldova,0.0010419949040890854,0.0010094042489390818
Romania,0.01374328175603835,0.02359498049241775
Russian Federation,0.0006080103098733487,0.0019005640175762228
Rwanda,1.5773754009127734e-05,9.433733717631357e-06
Saint Kitts and Nevis,0.0,6.90788979890573e-07
Saint Lucia,0.0,5.6819334119007754e-06
Saint Vincent and the Grenadines,6.421870121240283e-08,9.47044984336034e-07
Samoa,1.2827391169152608e-09,4.181485894018575e-09
Sao Tome and Principe,4.713340257509505e-06,3.448453587141013e-06
Saudi Arabia,9.289474153863302e-05,0.002425921297254241
Senegal,0.00010338328935842591,0.0005394781121068366
Serbia,0.007424183837467924,0.005487995660555974
Seychelles,1.2411675935452974e-07,3.596481690267337e-06
Sierra Leone,0.0,5.7827269320917795e-05
Singapore,1.5952607795965615e-05,4.9709679594109836e-05
Slovakia,0.01059786050682798,0.019158008838387957
Slovenia,0.006751468259494234,0.008420552203412588
Solomon Islands,0.0,7.052063223906965e-09
Somalia,0.0,2.451226437794812e-05
South Africa,9.20103855811023e-05,6.72763383917918e-05
South Sudan,0.0,1.4080514756968203e-06
Spain,0.1716210245723391,0.08490279185801705
Sri Lanka,4.833562379514195e-05,1.6154959952965183e-05
Sudan,0.0,6.985745942511261e-05
Suriname,1.5546592507121594e-06,1.6550045686385975e-05
Sweden,0.012518116445878186,0.04559674688279908
Switzerland,0.04570377361524395,0.06338621495499615
Syrian Arab Republic,0.0,0.0004226930789914077
Tajikistan,3.793841915791806e-06,1.0166116435608209e-05
Thailand,0.0002937109044974969,6.883761355035172e-05
Timor-Leste,6.746199333073369e-08,1.7757792514404271e-07
Togo,2.5909063771413154e-05,0.00010783896983740063
Tokelau,0.0,3.6696019075669453e-13
Tonga,0.0,1.592198449658008e-09
Trinidad and Tobago,1.3550041532796067e-06,1.3185061183579362e-05
Tunisia,0.0017643691484108383,0.0010585351508132456
Turkmenistan,0.0,2.1299371987401477e-05
Tuvalu,0.0,1.576853523571914e-10
Türkiye,0.014841151464924847,0.006005985600760937
Uganda,0.00016162507340399318,3.777812635437004e-05
Ukraine,0.01733239255176289,0.009899463974602778
United Arab Emirates,0.0003334545111232412,0.0012960017507520532
United Kingdom of Great Britain and Northern Ireland,0.04820286949640171,0.2517107585841787
United Republic of Tanzania,3.990259964547958e-05,1.737463542223136e-05
United States of America,0.0012933585664655289,0.002634363465309298
Uruguay,8.36847442010142e-06,4.200215767052494e-06
Uzbekistan,3.763467288916434e-05,0.00012840606808433143
Vanuatu,0.0,3.964557212985754e-09
Venezuela (Bolivarian Republic of),0.0,1.0794065375157021e-05
Viet Nam,0.00018446956921065424,8.086993719218799e-05
Yemen,0.0,0.00015574737645287592
Zambia,8.786075926352816e-06,3.5547332845335313e-06
Zimbabwe,8.809294199239699e-06,2.5802667736019047e-06
